file_path,mean,std,shape
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-26.jpg,[ 82.62260128 113.11292227 117.50785334],[81.01446433 69.37155872 66.96302199],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-27.jpg,[ 77.52240344 116.47106473 125.01667013],[77.21370049 69.006447   68.10726522],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-4.jpg,[ 85.34800301 111.3400328  122.13009515],[82.47316192 70.90954325 68.21633911],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-33.jpg,[ 86.6954215  114.07822186 123.82934294],[81.72484558 71.72406652 69.09496356],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-12.jpg,[ 78.23159786 119.39078198 136.16325358],[71.81330787 68.26293921 68.36859649],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-19.jpg,[ 69.19156069 108.73499955 114.51710268],[76.40545309 67.70938864 65.71745347],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-6.jpg,[ 91.15748729 113.77206611 120.53619162],[83.47329258 64.80870365 62.92950933],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-31.jpg,[ 73.99577258 113.5642152  120.93097162],[76.64694211 69.40366814 69.04597671],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-25.jpg,[ 99.40422495 119.90177882 125.05705341],[80.97568974 67.77058545 68.20444524],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-62.jpg,[ 73.29926117 108.01522936 122.04083987],[73.36311502 70.47860152 71.62372759],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-9.jpg,[ 60.36531541 111.28833658 130.01427953],[66.52616659 68.27424126 68.7584689 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-67.jpg,[ 89.11162182 114.58025905 128.68417508],[77.16931061 64.75092258 63.20428717],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-2.jpg,[ 87.4384504  122.43723624 133.49110645],[81.85847978 69.88744795 67.38815994],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-22.jpg,[ 88.07212439 121.33901621 130.49112179],[82.12417003 70.64724282 68.32558179],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-59.jpg,[ 87.21453012 113.63665994 122.61203215],[77.51618206 69.79006456 70.1514962 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-33.jpg,[ 65.73676757 110.23301149 125.75210002],[72.80902679 66.58604534 64.52855301],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-27.jpg,[ 67.00158914 110.51513766 117.40670568],[70.94094167 67.00533123 67.8266361 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-31.jpg,[ 72.72787615 109.11812535 118.54037836],[78.79607573 69.75933364 66.41349589],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-25.jpg,[ 59.5519836  108.22312341 119.29953559],[66.52497451 68.95581308 69.59343431],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-20.jpg,[ 80.1206416  116.414151   128.90906478],[73.87067211 69.13748852 68.01688173],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-34.jpg,[ 93.68491388 120.91091736 129.76569652],[81.16339596 69.73703495 68.3579274 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-19.jpg,[ 67.66725447 110.76110986 117.08570892],[73.11490015 71.32322395 69.94900138],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-65.jpg,[ 96.69511779 112.2726855  116.33604896],[79.56763823 66.94646797 64.33657337],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-2.jpg,[ 87.79133319 116.85146482 126.0850441 ],[78.06769241 70.99354453 70.12250435],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-59.jpg,[ 99.47352914 118.36760496 126.63177631],[79.15896136 72.61370551 71.01075905],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-33.jpg,[ 83.02097424 109.10893671 118.27356987],[80.42517837 72.3198361  71.64510554],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-59.jpg,[ 74.65219095 117.01199129 122.53998657],[72.36280613 69.69253449 70.07194017],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-60.jpg,[ 78.48278438 112.99656911 123.41094352],[72.85990661 74.09417461 77.51490597],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-27.jpg,[ 93.61148478 116.0509703  118.83940078],[90.11037339 70.45358    64.43209124],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-4.jpg,[ 85.32494607 112.1218291  121.71618454],[84.17942136 68.07911413 65.59047011],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-10.jpg,[ 84.33687609 111.82390766 121.40574314],[80.42159652 70.96383762 68.44704928],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-19.jpg,[ 70.72045716 112.75169625 122.82706175],[75.02907553 68.87703667 68.99184434],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-25.jpg,[ 77.38160597 115.49748556 121.52829021],[76.32608964 68.13983793 66.92929671],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-6.jpg,[ 66.85885682 113.18261391 124.60783852],[72.96326853 68.89020199 68.68998016],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-30.jpg,[ 86.43242716 116.41609231 122.6355597 ],[84.15871681 68.73078463 65.67681611],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-7.jpg,[ 89.22055763 119.19342417 128.76937329],[87.94153324 70.86452947 63.59106736],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-24.jpg,[ 71.55901638 113.97243973 123.04664404],[74.90797647 68.03660792 67.73724278],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-11.jpg,[ 96.54226407 118.49216921 124.62812858],[84.17081074 67.67206265 65.55731266],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-18.jpg,[ 76.32544497 115.28674162 124.72291321],[77.63541856 71.33844758 69.98441831],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-5.jpg,[ 83.93196516 112.54683694 126.52021534],[80.57483882 68.62717633 66.44633073],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-61.jpg,[ 68.90942934 109.76447415 126.0718015 ],[71.40750526 73.04724008 74.45148198],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-26.jpg,[ 93.32359034 117.50789394 120.37457171],[86.02470049 70.80086519 70.74188134],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-32.jpg,[ 76.8262379  108.4918514  112.98148132],[76.26168746 68.68788991 65.97140281],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-58.jpg,[ 59.73472808 111.03757539 108.92327895],[66.68691253 63.06373675 63.62457104],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-58.jpg,[ 93.79616647 113.30397339 119.39077657],[74.51208481 70.92618976 70.36768123],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-3.jpg,[ 81.88622059 112.69228759 125.50697618],[77.74134374 70.16891939 68.31834856],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-64.jpg,[ 82.95244115 110.67650717 125.09552564],[78.59644425 69.83484963 66.61307633],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-18.jpg,[ 68.55990773 117.05453692 134.11024781],[70.98949314 68.29782304 70.21844613],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-21.jpg,[ 87.94568493 121.77665892 129.33639662],[81.81600713 70.81207274 68.32452059],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-1.jpg,[ 86.88163049 109.65663736 117.41651625],[83.46903047 71.75191123 68.83683555],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-24.jpg,[ 74.35169791 114.59068531 126.25496335],[78.1826172  71.8350198  68.86470067],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-30.jpg,[ 67.71940736 111.41765971 121.6098493 ],[78.62074238 66.6202456  63.49473152],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-8.jpg,[ 80.89495125 108.78751945 113.2659114 ],[82.24974154 68.885695   67.27539313],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-5.jpg,[ 87.30399209 117.64735333 129.04533901],[80.50108185 70.44999683 68.31088277],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-25.jpg,[ 79.41729212 110.83750097 121.80954464],[78.18196973 71.93836484 70.2018017 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-31.jpg,[ 86.29191247 118.1995984  130.12357014],[81.35981078 73.83472001 71.04476472],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-10.jpg,[ 67.5287153  109.41166329 124.1435186 ],[63.71521514 63.58496604 65.9924458 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-19.jpg,[ 79.46647513 119.55031729 133.22792593],[76.7160176  68.90523756 67.00708642],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-34.jpg,[ 67.67738737 109.97168461 123.96850838],[74.92392591 68.1141493  65.57077177],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-20.jpg,[ 62.66345312 109.57832758 120.164441  ],[69.49474721 70.62892466 70.83779839],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-7.jpg,[ 71.97669504 113.92525692 131.83866814],[77.20390439 68.11251644 65.79744988],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-48.jpg,[ 76.06574586 115.57317739 129.91476177],[73.31240872 73.33193089 74.59081185],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-60.jpg,[ 91.49764902 118.28320559 130.36057702],[76.45457464 69.24976374 68.42823961],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-60.jpg,[ 74.16820077 114.01648272 121.68078176],[72.98230896 70.73168514 71.41998308],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-1.jpg,[ 83.25409489 118.13326252 127.30833556],[81.14498123 74.8632181  72.5162658 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-59.jpg,[ 67.69800508 107.83362392 131.69638133],[67.14921263 71.82823626 73.8687069 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-36.jpg,[ 75.57039517 109.13771131 116.46787374],[79.68189757 69.96631452 69.52130003],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-22.jpg,[113.40000695 123.87568344 114.45528571],[91.21765968 70.69379012 61.56388846],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-48.jpg,[ 61.83590609 111.08517935 120.2610153 ],[68.02209684 66.35064023 65.4402594 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-65.jpg,[ 89.33087967 119.33993561 128.02536823],[80.62883541 72.01481386 70.94970504],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-20.jpg,[ 67.65020912 112.33254975 121.14129376],[70.78766726 66.41143057 67.3429974 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-29.jpg,[ 72.64962452 118.86197425 138.09803877],[67.42251413 67.66371474 69.41723347],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-3.jpg,[ 79.18715668 119.09045952 130.15053645],[78.07326574 71.09848396 69.21953856],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-34.jpg,[ 82.39282024 113.50719869 125.45421663],[78.17988458 70.16981896 68.73344483],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-15.jpg,[ 92.87581606 121.3958326  130.70033482],[83.74446463 69.79499452 67.45087598],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-14.jpg,[ 85.06296347 115.02998663 125.69451235],[79.18687681 70.44845265 68.72610543],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-2.jpg,[ 80.56900664 111.48874644 123.61065568],[81.71018313 70.65819372 69.46947485],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-35.jpg,[ 86.10359436 113.80990814 123.58285608],[79.86004903 70.91952141 68.58770203],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-21.jpg,[ 73.04788954 116.01678241 127.64677356],[76.63606439 68.7836249  68.05249727],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-28.jpg,[ 78.70596742 115.83151053 134.27189331],[73.31113449 70.91975496 70.45075077],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-23.jpg,[ 95.21287742 113.78323585 115.96558755],[86.8047567  70.16951087 64.63034412],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-64.jpg,[ 77.29744509 113.94386426 125.01088654],[76.4253903  70.09949842 70.11741978],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-49.jpg,[ 64.62215159 111.65657946 113.59170879],[65.37853601 67.65635242 68.31998151],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-37.jpg,[ 79.51389135 113.94010696 116.8997938 ],[79.14129176 68.28759574 67.08163002],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-61.jpg,[ 83.79161623 119.46344136 125.96480512],[77.3419917  69.08550546 69.2527535 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-61.jpg,[ 84.26649265 115.60728835 128.26594273],[75.93031255 70.52624768 68.71157606],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-49.jpg,[ 69.66141938 112.8105504  127.01193134],[68.1686859  72.28256811 73.64783597],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-6.jpg,[ 67.0092217 109.8283795 128.9517619],[70.22253335 66.94979427 66.4880572 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-21.jpg,[ 60.36496873 109.29101513 122.17280834],[64.7978789  65.36435019 66.55623304],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-11.jpg,[ 78.30366337 111.7399296  125.25750904],[79.75927486 67.48067505 65.09321411],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-35.jpg,[ 65.05483578 114.0149423  120.39569735],[70.62577214 63.99328433 63.6003579 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-18.jpg,[ 84.91465351 120.4548014  130.77726452],[80.34271786 68.78639474 67.4627354 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-30.jpg,[ 78.19425925 117.3564148  132.34665065],[75.18115718 68.49480871 67.06660701],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-4.jpg,[ 77.74475935 118.53710199 133.9292693 ],[75.15959829 70.4838151  68.78855852],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-24.jpg,[ 86.84849658 122.13761863 132.09250557],[81.58998433 69.32640474 66.77840406],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-9.jpg,[ 90.58277497 114.25447421 116.64991288],[89.96099117 69.78906682 64.71965558],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-32.jpg,[ 85.38948301 115.98070512 127.94512641],[78.59651467 73.6847867  72.21759098],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-26.jpg,[ 80.75353488 119.73706545 134.20762086],[76.18685092 70.05455916 69.68793883],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-6.jpg,[ 92.79235117 121.25339209 132.70195152],[81.73490151 70.48628142 68.10832465],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-49.jpg,[ 74.21700265 114.49333334 124.66845109],[78.20353751 71.93719747 71.24928666],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-23.jpg,[ 73.1006285  112.86807327 123.80420024],[75.26941337 68.21338031 66.58041002],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-37.jpg,[ 63.19850792 106.59746015 114.62906634],[69.1785815  67.78548227 68.46955938],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-4.jpg,[ 82.6066871  116.68432976 131.13680519],[80.81137632 70.12898868 67.03756428],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-63.jpg,[ 80.66380382 115.78652739 132.82274009],[75.15600241 71.33308756 70.71434439],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-2.jpg,[ 79.4788053  113.6048948  126.93653664],[83.43478905 71.76091299 68.56020862],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-63.jpg,[101.44163548 115.86644509 120.30489951],[83.96609513 70.03633828 67.08449463],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-66.jpg,[ 84.29565009 117.7598533  128.47898115],[78.5623748  70.65949231 70.14632552],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-21.jpg,[ 89.21067849 115.2569091  117.87047248],[83.58133738 70.05608879 67.31280159],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-35.jpg,[ 68.46992709 110.41716344 122.5338996 ],[71.44957365 66.88160487 67.33376431],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-37.jpg,[109.73286443 117.79658253 112.43042835],[87.89568891 65.32604533 60.61047922],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-23.jpg,[ 70.43725715 116.49329398 127.92259781],[74.07160162 68.29967202 67.96345332],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-16.jpg,[ 75.7099219  117.44716073 134.13822308],[73.38838767 67.01957973 66.62882429],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-17.jpg,[ 83.96293852 116.94550155 131.73150404],[76.87300079 69.01866072 68.20887007],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-22.jpg,[ 72.61806368 113.94968403 124.37558166],[75.25617502 67.94450644 67.07318173],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-1.jpg,[101.18303071 120.16435784 124.12064266],[83.70270829 69.55720841 68.15111177],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-34.jpg,[ 81.07049769 115.51609807 128.04657023],[78.6833838  68.06951279 66.99698643],"(4032, 3024, 3)"
