file_path,mean,std,shape
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-12.jpg,[ 87.74219144 121.06541812 127.1602942 ],[83.21008662 68.81499621 66.73101582],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-33.jpg,[ 95.64648864 118.32735725 124.92181923],[84.5634595  69.27255986 66.63776846],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-46.jpg,[ 85.27157722 114.81192154 122.77579849],[80.46769888 69.90158874 67.85970167],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-38.jpg,[ 74.50002707 109.15429901 111.75743539],[76.71250723 69.67839694 68.93884343],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-52.jpg,[ 75.33859457 114.21862919 121.08052888],[74.4402377  70.68354468 71.93293034],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-57.jpg,[ 69.73189468 106.66153978 118.03034249],[65.39813994 70.56167897 73.51744191],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-10.jpg,[ 66.29990926 111.2747874  120.95913889],[75.0974457  68.68016982 68.88722603],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-43.jpg,[ 71.71129796 113.5984751  128.61401291],[73.06445761 73.15797876 73.24617009],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-52.jpg,[ 94.96067136 122.6139792  132.47082377],[77.74060319 73.18164636 72.11130937],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-46.jpg,[102.3733573  121.50050948 126.39560623],[78.17977311 64.40214877 61.35263351],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-9.jpg,[ 73.11547189 112.09402762 125.9389224 ],[71.52694949 66.66041266 67.34414169],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-44.jpg,[ 67.92153791 112.47871656 126.02892862],[69.19764265 67.49413443 69.4221882 ],"(4032, 3024, 3)"
